20250124	12:03:00	970580f1-0e90-4b24-b2a9-02beab941bbb	/	GET
20250124	12:03:00	e2604164-83e3-4413-bc6c-1e1bab1d6aff	/css/style.css	GET
20250124	12:03:37	02cd7beb-ef73-4bcf-9166-de7817bb851e	/new-page	GET
20250124	12:03:37	86d13b94-6318-4d91-9b6b-ee458a156a99	/css/style.css	GET
20250124	12:03:37	d0de13b4-be88-48fc-ad91-04e82def60bb	/img/img1.jpg	GET
20250124	12:05:31	fa638127-4060-4dc2-bbd1-aa0d0f927556	/new-page	GET
20250124	12:06:06	355f76b0-cc42-4c39-a022-29db0633c3e8	/new-page	GET
20250124	12:06:06	2bd26c01-a84b-4e9f-be12-817c726817af	/css/style.css	GET
20250124	12:06:06	80561176-6aaf-4950-970d-04609900497c	/img/img1.jpg	GET
20250126	03:07:02	26920924-2d8f-44a6-8038-4d4383f0967f	GET	undefined	/img/img1.jpg
20250126	03:07:29	a3a69729-a2bc-4802-bdf0-dda0c560c23d	GET	undefined	/new-page.html
20250126	03:07:29	805c4985-97ca-4065-992f-a65a13f43695	GET	undefined	/css/style.css
20250126	03:07:29	a596d41e-5e17-43f0-b2c3-b836c4097cc8	GET	undefined	/img/img1.jpg
20250126	03:07:45	135b9aa7-9a57-40b0-973b-7d63bc2453c3	GET	undefined	/index
20250126	03:07:45	32f9abd2-006e-486a-b907-7056a4abf0c2	GET	undefined	/css/style.css
20250126	03:33:04	1f28c648-3c48-4f06-ac41-b428d7e105cd	GET	undefined	/
20250126	03:33:34	634afc06-bea7-44bc-9b06-08f705f4dd4f	GET	undefined	/employees
20250126	03:35:02	46378ddf-c4a8-4e06-8f23-32e86bccf61b	POST	undefined	/employees
20250126	03:35:10	337970a5-4cb2-43d6-ab97-2a5ebd8b7cb3	GET	undefined	/employees
20250126	03:36:48	ebf13820-e0f4-4c18-99bc-b1588e71f074	GET	undefined	/employees/1
20250126	03:36:59	e9c89e9e-48ae-4759-8d5e-7d0c51ab0a6a	GET	undefined	/employees/1
20250126	03:37:10	83e92045-40fa-40eb-b3f9-26bb1f833be8	GET	undefined	/employees/2
20250126	03:37:58	4ac1d0a7-db1b-43c7-925f-cb3042f868e2	GET	undefined	/employees/2
20250127	02:46:05	01c7b049-685d-4b25-bc36-0381c34bf618	GET	undefined	/employees
20250127	02:47:24	f138f547-563c-4189-a9fa-b293150374b6	POST	undefined	/employees
20250127	02:48:43	8af50442-472a-4a4c-921c-bc7c012e3521	PUT	undefined	/employees
20250127	02:49:45	0c4120fd-55cf-4bc7-bf84-2a9be262a9d5	PUT	undefined	/employees
20250127	02:50:20	f3c33fa2-b4ac-461d-beaf-4624c88c88cf	PUT	undefined	/employees
20250127	02:51:21	aa435076-b842-46fb-a1e8-c7132c598536	DELETE	undefined	/employees
20250127	02:51:36	f3ed27bf-68b0-42a3-b645-f3c479826777	DELETE	undefined	/employees
20250127	02:52:03	2184b5df-f489-41c3-b5b7-e79a96d00514	GET	undefined	/employees/1
20250128	02:23:21	49ce2a0a-1ddc-437a-9f28-fdde37118f71	GET	undefined	/register
20250128	02:23:28	14a306ae-c2ab-43af-908d-84b1d2d5710e	POST	undefined	/register
20250128	02:52:23	9672b8ea-1e30-49f5-8a48-33df280f590a	POST	undefined	/register
20250128	03:29:30	dcd56a68-068f-4e6e-9a6c-de2e658c50b5	POST	undefined	/auth
20250128	03:30:11	76624218-f642-41f1-862a-38ca78d49662	POST	undefined	/auth
20250129	03:36:15	7a8d4eee-25ef-48b9-bd88-28cc7b90f5e6	POST	undefined	/auth
20250129	03:36:25	e2b1c4db-c813-4254-8cfa-211dfd9cc534	POST	undefined	/auth
20250129	03:40:09	ef7e1da3-5e04-4a16-ab9e-2236ae421586	GET	undefined	/employees
20250129	03:40:27	a7484829-c693-470c-bc34-f3091b1a55d7	GET	undefined	/employees
20250129	03:40:43	65b8057c-0ebe-4651-a625-1a04918d62a0	POST	undefined	/auth
20250129	03:41:17	43b9a422-223b-4098-8b30-ab42110c63d6	GET	undefined	/employees
20250129	03:42:30	f46396f5-efdf-4b4b-b3ec-80d60d1cfba8	GET	undefined	/employees
20250129	03:42:43	c712aef0-e9f5-46a3-8063-02447a06e65e	GET	undefined	/employees
20250129	03:46:17	7d0865bd-45fa-4e18-893d-914424c6e895	GET	undefined	/employees
20250129	03:47:18	9ca9ddd7-2e15-4a38-86c5-db8f2e7e1d96	POST	undefined	/auth
20250129	03:47:52	8e0de01f-9019-48c2-bd55-aa442bbf2fd0	GET	undefined	/employees
20250129	03:51:10	d8e1e419-6776-4b64-b5c7-0a92262670b9	POST	undefined	/auth
20250129	03:51:42	6c2c4ca3-a387-4931-8f62-35a557eed517	GET	undefined	/employees
20250129	03:55:02	4f2f2aff-ae49-4216-b0f9-2146f91049a3	POST	undefined	/auth
20250129	03:55:41	96b547a6-fc54-41bf-97bb-7fefbdd61985	GET	undefined	/employees
20250129	04:00:13	c9b1b8dc-2fcb-4446-b186-3cb9efa23f14	POST	undefined	/auth
20250129	04:00:52	21c0056f-e50f-4b5d-bd73-6559ae1a8bc6	GET	undefined	/employees
20250129	04:01:01	9b9e3133-c1ca-4dc6-b980-8bb7ea3fc1a9	GET	undefined	/employees
20250130	02:38:28	2825e2eb-2b61-428c-89ac-dbb8e23ce7ef	POST	undefined	/auth
20250130	02:39:46	e0c3db36-9b9a-4b24-b174-4d8304e84925	GET	undefined	/refresh
20250130	03:09:42	5f1eb585-feec-4752-ac5f-843acb468f4d	POST	undefined	/auth
20250130	03:10:34	95a1f35a-d9bd-4a09-a838-a441b97d2426	GET	undefined	/logout
20250130	03:11:58	d2cebbdc-8dee-4f3d-82f6-571485fd065a	GET	undefined	/refresh
20250130	03:16:15	367bbc1f-d2c3-4b6a-a043-61e4149b0e69	POST	undefined	/auth
20250130	04:00:31	d46fb508-ed6f-4f5e-9a58-b7db2568063d	POST	undefined	/register
20250130	04:01:15	37b9ff10-8c5f-43f9-afd3-0473d84b18bc	POST	undefined	/auth
20250202	02:15:31	d7b63882-c65d-4b7f-b103-5da354f53cb5	POST	undefined	/auth
20250202	02:17:27	9f85965f-b924-457b-a9a8-b80f7c53dd68	GET	undefined	/employees
20250202	02:18:00	bb3c74bf-3c60-4a75-8f98-7a250cc096bc	GET	undefined	/employees
20250202	03:49:00	a0374219-2b2c-478b-96b3-40adb8ae284d	POST	undefined	/auth
20250202	03:50:28	8e0fa4a4-2d41-4e63-8b70-12613f37f8f1	POST	undefined	/register
20250202	03:51:49	c77e1d09-65b3-4da8-a412-1144725a1dcd	POST	undefined	/register
20250203	02:55:00	c4437efd-83e7-4483-a662-e6f56d185c03	POST	undefined	/register
20250203	02:55:13	c38676c4-294f-4618-8140-40f890de0ba9	POST	undefined	/register
20250203	02:56:10	ce6a200b-f244-479e-b7df-ce4cf5e37861	POST	undefined	/auth
20250203	02:56:52	6791d62a-1918-40c5-ad35-e49638a940a1	POST	undefined	/auth
20250203	02:58:52	3e72e0f9-3877-4f77-8eab-ba5caf4199d3	POST	undefined	/auth
20250203	02:59:06	cbf0b095-1e24-4709-a60c-98bb7072eca6	GET	undefined	/refresh
20250203	03:01:36	b47242dd-ea5f-4884-abad-239736515468	GET	undefined	/logout
20250204	02:46:50	429a9e2b-0a71-4b11-ae76-800a878b7235	POST	undefined	/auth
20250204	02:47:28	a58c7dbb-fb6f-4e6c-af79-22091a7869a6	GET	undefined	/employees
20250204	02:50:34	8bcfa572-b119-4589-b5f5-7f9cf787284c	POST	undefined	/employees
20250204	02:50:50	1de29960-f16c-442e-b2ed-0f112dc24bfe	POST	undefined	/employees
20250204	02:50:55	02d06eff-90d1-48a4-a599-3a7ea28adc68	GET	undefined	/employees
20250204	02:51:41	57c69f97-9b94-4281-b81a-8a5a7fe764c9	GET	undefined	/employees/67a1565ae51f8a73aac45f9a
20250204	02:53:24	4ed09401-6072-47c0-b58e-90baaa19962b	GET	undefined	/employees/67a1565ae51f8a73aac45f9a
